created - 12:53:01.709625 Large marble: 5-Star, marbles: Bistre Brown, Pale Plum, Pale Cerulean, Light Orange, Isabelline, Light Orange, Duke Blue
created - 12:53:08.309455 Large marble: Hercules, marbles: Cotton Candy, Blue-Green, Ivory, Venetian Red, Purple, Antique Bronze, Granny Smith Apple
created - 12:53:08.383443 Large marble: Big Joe, marbles: Golden Yellow, Orange Soda, Mango Tango, Eerie Black, Pale Plum, Lumber, Neon Dark Green
created - 12:53:08.456801 Large marble: Apollo, marbles: Arylide Yellow, Maximum Violet, Silver Pink, Light Orchid, Antique Bronze, Middle Green Yellow, Sheen Green
created - 12:53:08.530056 Large marble: Lucky, marbles: Brown, Liver Chestnut, Sage, Ivory, Sage, Lilac Luster, White Smoke
created - 12:53:08.603241 Large marble: Zeus, marbles: Cobalt Blue, Dark Moss Green, Light Orchid, Venetian Red, Silver Pink, Neon Dark Green, Royal Red
created - 12:53:08.675892 Large marble: Sure Shot, marbles: Fiery Rose, Spanish Carmine, Vegas Gold, Venetian Red, Brink Pink, Ivory, Platinum
created - 12:53:08.752389 Large marble: Hercules, marbles: Royal Orange, Pale Goldenrod, Rose Dust, Russian Violet, Auburn, Spanish Carmine, Icterine
created - 12:53:08.826044 Large marble: Zeus, marbles: Sage, Light Orchid, Almond, Sage, Dark Moss Green, Royal Red, Neon Pink
created - 12:53:08.898293 Large marble: Zeus, marbles: Pale Cerulean, Fiery Rose, Almond, Orange Peel, Russian Violet, Middle Green, Candy Pink
created - 12:53:08.970124 Large marble: Sure Shot, marbles: Mode Beige, Royal Red, Tuscan Brown, Platinum, Pale Goldenrod, Lemon Lime, Almond
created - 12:53:09.043863 Large marble: Winner, marbles: Honeydew, Neon Silver, Royal Red, Sheen Green, Venetian Red, Royal Red, Rose Quartz
created - 12:53:09.116196 Large marble: Apollo, marbles: Thulian Pink, Middle Red Purple, Blue Bell, Maximum Blue, Arylide Yellow, Sheen Green, Candy Pink
created - 12:53:09.190357 Large marble: Sure Shot, marbles: Mint Cream, Icterine, Neon Pink, Lavender Blue, Pale Taupe, Russian Green, Neon Silver
created - 12:53:09.279125 Large marble: Winner, marbles: Terra Cotta, Icterine, Cotton Candy, Royal Blue, Maximum Violet, Mode Beige, Beaver
created - 12:53:09.352455 Large marble: 5-Star, marbles: Sheen Green, Spanish Carmine, Black Coral, Spanish Orange, Auburn, Green, Russian Green
created - 12:53:09.425593 Large marble: Spinner, marbles: Antique Brass, Maximum Violet, Mint Green, Platinum, Orange Peel, Zomp, Lemon Lime
created - 12:53:09.497622 Large marble: Hercules, marbles: Candy Pink, Light Orange, Purple, Dark Fuchsia, Green, Blue-Green, Lemon Lime
created - 12:53:09.569600 Large marble: Sure Shot, marbles: Safety Yellow, Sheen Green, Antique Brass, Icterine, Granny Smith Apple, Vegas Gold, Dark Fuchsia
created - 12:53:09.641332 Large marble: Big Joe, marbles: Terra Cotta, Antique Bronze, Shandy, Antique Brass, Mint Cream, Lemon Lime, Brink Pink
created - 12:53:09.716354 Large marble: 5-Star, marbles: Tuscan Brown, Mint Green, Gold, La Salle Green, Blue-Green, Arylide Yellow, Lilac Luster
created - 12:53:09.802865 Large marble: Spinner, marbles: Beaver, Purple Plum, Vegas Gold, Brink Pink, Mint Green, Orange Peel, Dark Fuchsia
created - 12:53:09.875212 Large marble: Spinner, marbles: Orange Peel, Middle Green, Isabelline, Royal Orange, Royal Orange, Russian Green, Pale Plum
created - 12:53:09.947166 Large marble: Lucky, marbles: Isabelline, Almond, Russian Violet, Stop Red, Orange Soda, Mode Beige, Mint Cream
created - 12:53:10.019010 Large marble: Hercules, marbles: Ruby, Candy Pink, Pale Plum, Blue Bell, Auburn, Beaver, Pale Cerulean
created - 12:53:10.090954 Large marble: Apollo, marbles: Rose Quartz, Gold, Almond, Royal Blue, Big Dip O’ruby, Mango Tango, Brink Pink
created - 12:53:10.163799 Large marble: 5-Star, marbles: Cobalt Blue, Cobalt Blue, Light Orange, Maximum Purple, Dark Fuchsia, Mode Beige, Blue-Green
created - 12:53:10.240275 Large marble: Apollo, marbles: Mango Tango, Vegas Gold, Green, Mint Cream, Mint Cream, Outrageous Orange, Pale Goldenrod
created - 12:53:10.315320 Large marble: Winner, marbles: Lavender Purple, Light Orange, Maximum Violet, Gold, Orange Soda, Sheen Green, Ivory
created - 12:53:10.388767 Large marble: Apollo, marbles: Chinese Red, Maximum Blue, La Salle Green, Tuscan Brown, Pastel Blue, Royal Red, Shandy
created - 12:53:10.462288 Large marble: Hercules, marbles: Bistre Brown, Russian Violet, Arylide Yellow, Arylide Yellow, Neon Dark Green, Neon Silver, Indigo
created - 12:53:10.535655 Large marble: Lucky, marbles: Tuscan Brown, Dark Fuchsia, Middle Green Yellow, Big Dip O’ruby, Terra Cotta, Mango Tango, La Salle Green
created - 12:53:10.609969 Large marble: Hercules, marbles: Liver Chestnut, Lavender Purple, Mode Beige, Russian Green, Mint Green, Venetian Red, Indigo
created - 12:53:10.684279 Large marble: Apollo, marbles: Pale Cerulean, Arylide Yellow, Liver Chestnut, Indigo, Brink Pink, Almond, Tuscan Brown
created - 12:53:10.768765 Large marble: Sure Shot, marbles: Mint Cream, Spanish Pink, Middle Red Purple, Light Orchid, Fiery Rose, Honeydew, Granny Smith Apple
created - 12:53:10.853559 Large marble: 5-Star, marbles: Maximum Violet, Candy Pink, Shandy, Sage, Light Orange, Auburn, Indigo
created - 12:53:10.927852 Large marble: Apollo, marbles: Lumber, Venetian Red, Antique Bronze, Liver Chestnut, Stop Red, Honeydew, Cotton Candy
created - 12:53:11.002608 Large marble: Sure Shot, marbles: Brink Pink, Silver Pink, Royal Orange, Venetian Red, Spanish Carmine, Neon Dark Green, Black Coral
created - 12:53:11.077443 Large marble: Sure Shot, marbles: Stop Red, Neon Pink, Lumber, White Smoke, Ivory, Pale Cerulean, Mimi Pink
created - 12:53:11.152191 Large marble: Hercules, marbles: La Salle Green, Purple Plum, Middle Green, Mode Beige, Brink Pink, Tuscan Brown, Royal Red
created - 12:53:11.237136 Large marble: Sure Shot, marbles: Brown, Black Coral, Antique Brass, Purple Plum, Platinum, Duke Blue, Middle Red Purple
created - 12:53:11.312183 Large marble: Lucky, marbles: Indigo, Granny Smith Apple, Lavender Blue, Dark Fuchsia, Outrageous Orange, Platinum, Stop Red
created - 12:53:11.388187 Large marble: Sure Shot, marbles: Spanish Orange, La Salle Green, Honeydew, Orange Peel, Neon Silver, Russian Violet, Tuscan Brown
created - 12:53:11.462231 Large marble: Apollo, marbles: Neon Pink, Pastel Blue, Mango Tango, Tuscan Brown, Silver Pink, Pale Cerulean, Big Dip O’ruby
created - 12:53:11.536883 Large marble: 5-Star, marbles: Pastel Gray, Shandy, Mimi Pink, Light Orchid, Middle Green Yellow, Black Coral, Orange Peel
created - 12:53:11.609975 Large marble: Lucky, marbles: Rose Quartz, Spanish Pink, Silver Pink, Antique Bronze, Russian Violet, Candy Pink, Mint Cream
created - 12:53:11.685326 Large marble: Hercules, marbles: Thulian Pink, Auburn, Lavender Purple, Indigo, Pale Cerulean, Middle Red Purple, Brink Pink
created - 12:53:11.767451 Large marble: Spinner, marbles: Neon Pink, Mimi Pink, Antique Bronze, Light Orchid, Pale Plum, Fiery Rose, Purple Plum
created - 12:53:11.842747 Large marble: Big Joe, marbles: Brown, Cobalt Blue, Black Coral, Black Coral, Safety Yellow, Emerald, Isabelline
created - 12:53:11.922608 Large marble: 5-Star, marbles: Arylide Yellow, Russian Green, Stop Red, Eerie Black, Lumber, Russian Green, Maximum Blue
created - 12:53:12.000708 Large marble: Big Joe, marbles: Lemon Lime, Silver Chalice, Thulian Pink, Brown, Royal Blue, Russian Violet, Spanish Pink
created - 12:53:12.122010 Large marble: Sure Shot, marbles: Neon Pink, Neon Silver, Blue Bell, Black Coral, Granny Smith Apple, White Smoke, Isabelline
created - 12:53:12.201175 Large marble: Sure Shot, marbles: Chinese Red, Eerie Black, Orange Soda, Arylide Yellow, Green, Dark Moss Green, Fiery Rose
created - 12:53:12.280217 Large marble: Winner, marbles: Spanish Pink, Shandy, Neon Dark Green, Ruby, Duke Blue, Maximum Violet, Mint Cream
created - 12:53:12.352211 Large marble: Hercules, marbles: Eerie Black, Mulberry, Zomp, Orange Soda, Maximum Purple, Eerie Black, Royal Orange
